title,author,abstract
"Effects of Dietary Interventions on Treatment for Patients with Anxiety and Depression, A Systematic Review","Erickson, Rylyn; Schafer, Gerald","Objective: To review literature regarding the effects of implementing dietary and nutritional intervention in treatments for depression or anxiety patients. Methods: PubMed and CINAHL literature sources were reviewed regarding the effectiveness of dietary or nutritional interventions on anxiety or depression. Results: Most of the sources found a relationship between increased depression or anxiety and poor diets and supported the finding that dietary implementations such as low calorie diets, higher fruit and vegetable intakes, and visits with dietary specialists to improve nutrition intakes, have positive effects on patients with anxiety and depression. Conclusion: Dietary and nutritional interventions have shown positive outcomes in treatments for anxiety or depression. Interventions researched in the review support the findings that dietary interventions benefit patients with anxiety and depression. Further research on specifically what dietary interventions work best for anxiety and depression is necessary. "
The Impact of Psychosocial Intervention for Depression following Lower Extremity Injuries: A Systematic Review,"Greene, Sarah","Objective. To review the current literature regarding the impact of psychosocial interventions for mental health issues in collegiate athletes. Methods. Literature was gathered through PubMed and Google Scholar to identify articles about the impact of psychosocial interventions on the overall well-being of collegiate athletes. The interventions included were mindfulness-based interventions and cognitive behavioral therapy. Results. All articles in this review support using mindfulness-based interventions and cognitive behavioral therapy as treatments for mental health issues in athletes. In addition to improved mental health among the athletic population, other aspects of the athlete were improved, including pain tolerance, mental toughness, and ability to cope with adversities. Conclusion. Psychosocial interventions like mindfulness-based interventions and cognitive behavioral therapies provide many benefits that support the overall well-being of collegiate athletes. "
Comparing Surgical and Pharmaceutical Techniques for Treating Uncomplicated Appendicitis,"Normandeau, James; Schafer, Gerald","Objective: To review current literature and determine whether nonoperative management of acute appendicitis provides accelerated recovery when compared to surgical appendectomy after one year in pediatric patients. Methods: Literature was collected from PubMed. Articles were assessed to determine the success rate, quality of life, hospital recovery time, or return to normal activity for the patient and/or caregiver, following nonoperative management or surgical appendectomy in pediatric patients. Results: The articles for the most part supported the conclusion that nonoperative management of appendicitis is a safe alternative to appendectomy. Relapse rates typically were around 70% for nonoperative patients. For patients who did not relapse following initial nonoperative treatment, hospital and recovery times were often shorter than patients in the surgical groups. However, when the patients who failed nonoperative management were considered, the data did not show significantly faster recovery time than the surgical groups. Conclusion: Research suggests that nonoperative management of acute appendicitis does not lead to accelerated patient recovery when compared to surgical management of appendicitis in pediatric patients MeSH Keywords: Appendectomy; nonoperative; conservative; pediatric; appendicitis "
"In Middle Aged Women with HPV and Risk of Cervical Cancer, How Does HPV DNA Testing Compare to Cervical Cytology in Detecting Cervical Cancer.","Arroyo, Aura; Parsley, Kelly","Objective: To review current literature regarding the performance of HPV and cytology tests for cervical cancer. Methods: Literature was gathered through PubMed, CINAHL, and Google Scholar and assessed for the effectiveness of HPV and cytology tests detecting cervical cancer. Results: Most of the literature displayed support for HPV testing since it has favorable results for women being screened for cervical cancer. Cervical cytology was stronger in detecting specificity which has led to using both tests together. When different methods were directly compared, the studies favored HPV testing as the preferred method for improving the detection of cervical cancer in women with HPV, but the optimal solution was it being adjunct with cytology. Conclusion: The interventions mentioned in this review should be researched further to find that gold standard diagnosis in middle aged women. HPV screening and cytology screening together have shown promising results for women who are doing routine screenings to detect cervical cancer. "
Under Pressure: A Systematic Review of Weighted Blankets for Treatment of Anxiety and Insomnia,"Holmes, Macie; Schafer, Gerald","Objective: The purpose of this study was to investigate the efficacy of weighted blankets in providing relief to anxiety and insomnia caused by a variety of health disparities and diagnoses. Methods: Using Pubmed and CINAHL, articles were selected reporting on research on the use of weighted blankets for different diagnoses. Health conditions included autism spectrum disorder, attention hyper deficit disorder, chronic pain, eating disorders, old age, and chemotherapy. Results: Most articles demonstrated a decrease in anxiety and reduced sleeping medications with the use of weighted blankets. The only side effects noted by patients was minor discomfort. Depending upon the prescription process for obtaining weighted blankets, they were a cost effective intervention that was safe for adults and children under supervision. Discussion: Weighted blankets are an effective intervention in decreasing anxiety and insomnia associated with multiple health conditions, at a relatively low cost. "
Carotenoids and Their Effects on Macular Degeneration: a Systematic Review,"Bomengen, McKenna; Schafer, Gerald","Objective: To review current literature concerning the effectiveness of lutein and carotenoid supplementation in preventing progression of Age-Related Macular Degeneration. Methods: Search engines PubMed and CIHNAL were used and further assessed for associations between the effectiveness of Lutein and the prevention of Macular Degeneration. The interventions included were AREDS, AREDS2, MaQuprev, lutein, zeaxanthin, vitamin C, vitamin E, beta carotene, zinc oxide, omega-3 long-chain polyunsaturated fatty acids, docosahexaenoic acid, eicosapentaenoic acid, and cupric oxide. Results: Most of the literature pointed to these treatments the slowing of ARMD progression. Two studies did not report slowing of ARMD when treated with combinations of carotenoids, vitamins, and other anti-inflammatory substances. Conclusion: Results were inconclusive. Not all studies reported significant figures supporting supplements in treatment of the slow of ARMD progression. Carotenoid interventions have shown promising results for the prevention of ARMD. The interventions mentioned in this review should be researched further to provide additional treatment options. Keywords: Age Related Macular Degeneration, Prevention, Lutein, Carotenoids "
Chronic Wound Treatment Using Mesenchymal Stem Cells: A Systematic Review,"Taugher, Dominique; Schafer, Gerald","Objective: To review current literature about the effectiveness of mesenchymal stem cell treatment on chronic wounds. Methods: Literature was gathered through PubMed, CINHAL, and Google Scholar and assessed for the effectiveness of mesenchymal stem cell (MSC) treatment on chronic wounds. Results: The majority of the literature supported the stance that MSC interventions have a favorable effect on patients with chronic skin wounds. Conclusions: MSC treatment shows promising results for patients with chronic skin wounds. The treatment mentioned in this review should be researched further to discover the best dosage and further studies should examine the safety of MSCs. When different dosages were directly compared, studies didn’t identify a preferred dosage for best improving skin dermis in patients with chronic skin wounds. Keywords: Mesenchymal stem cells; chronic wounds; psoriasis; atopic dermatitis; diabetes mellitus; acute skin wounds; recessive dystrophic epidermolysis bullosa. "
"Dietary Soy Consumption and its Impact on Male Fertility, a Systematic Review","Babin, Bailey; Schafer, Gerald","Objective: To review current literature regarding impacts of dietary soy on male fertility. Methods: Literature was gathered through PubMed and CINAHL and assessed for impacts on male fertility. Dietary soy products included foods that contained isoflavone phytoestrogens. Results: Of the studies in this review, two involving mice, half found that dietary soy negatively affects male fertility, while the other half found that dietary soy has no effects on male fertility. Conclusion: Further studies should be conducted with a longer duration before coming to a concrete conclusion of whether or not the presence of dietary soy, including isoflavones, adversely affects male fertility. Keywords: Fertility; isoflavones; soy products; estrogens; reproduction. "
The Impacts of Aerobic and Anaerobic Exercise on Neuropsychiatric Symptoms (NPS) for Middle Aged and Older Adults with Alzheimer’s; A Systematic Review,"Jones, Sadie; Schafer, Gerald","Objective. To review the impact of aerobic and anaerobic exercise on neuropsychiatric symptoms (NPS) in middle aged and older adults with Alzheimer’s Disease (AD). Methods. Studies found through PubMed and CINAHL databases were reviewed for associations between aerobic exercise and anaerobic exercise affecting NPS with those with AD. There were 64 articles identified from both databases which were then narrowed down to eight qualitative articles. Results. Aerobic exercise was strongly correlated with an improvement of NPS which includes depression, stress, and aggression in studies designed with specific durations of physical exercise. In some studies, anaerobic exercise found memory training to be effective for reducing NPS. Conclusions. While anaerobic exercise influenced changes in behavioral symptoms, current research suggests that aerobic exercise has a greater impact on NPS, leading to a reduction in stress and depression in individuals with AD. "
Prevalence of Ventricular Tachycardia Reoccurrence Following Catheter Ablation in Patients With Arrhythmogenic Right Ventricular Cardiomyopathy: A Systematic Review,"Moseley, Marie; Schafer, Gerald","Objective: To evaluate studies regarding the prevalence of ventricular tachycardia (VT) reoccurrence following catheter ablation in patients with arrhythmogenic right ventricular cardiomyopathy (ARVC) who present with persistent ventricular tachycardia. Methods: Literature was identified using CINAHL and PubMed and evaluated for effectiveness of catheter ablation in preventing VT reoccurrence following ablation in ARVC patients with persistent ventricular tachycardia. Results: Most of the literature found catheter ablation to be an effective treatment for ARVC patients with persistent ventricular tachycardia, however, ventricular tachycardia reoccurrence was common in the majority of the studies. Across the 9 nine studies analyzed, after one catheter ablation procedure the VT reoccurrence rate was near 50%. Conclusion: Catheter ablation shows promising results for ARVC patients with persistent VT. However, further research should be done to fully establish the efficacy of this treatment. The use of improved mapping techniques could potentially lower VT reoccurrence rates following ablation. "
