Name,Topic,Title,Abstract
Natalie Powell,Anthrozoology,Pseudo Narcotic Generalization in Canines,"Dogs have around three hundred million olfactory receptors in their brains (Purina, 2023)- resulting in their incredible ability to detect illegal narcotics, bed bugs, cancer, seizures, diabetes, and even explosives and ammunition. While “true material” is highly sought after for narcotic, explosive, and human remains detection, this material is often too expensive and difficult to obtain. In addition, true material presents trouble with handling, storage, and security (Front. Vet. Sci., June 2020). Due to the aforementioned concerns, pseudo odors become invaluable training aids. To effectively recreate the odor, pseudo odors are designed with the primary compound from the true material or capture the headspace of the true material to provide an effective and safe odor for canines and their handlers. This provides a similar odor profile which can provide a suitable training aid (Front. Vet. Sci., June 2020). However, more recent studies have shown a lack of generalization from pseudos to true material (Moser et al., 2019). This causes concern for canines solely using pseudos for training purposes. This study aims to gain new insight into generalization in canines from pseudo cocaine to the primary compound in cocaine (methyl benzoate) without prior training on the odor."
Bersabeh Zellele,Health Science,"Physiological and mental health effects of the ongoing civil war among North, Northwestern and Central Ethiopia","The Ethiopian civil war that erupted in November 2020 has led to a humanitarian crisis marked by displacement, loss of life, and food shortages, impacting North and Central Ethiopia. This systematic review, comprising 14 selected articles from an initial pool of 26, investigates mental health effects and physiological presentations in conflict-affected populations. Results indicate a significant prevalence of mental health disorders, especially PTSD and perceived stress, with alarming rates in specific regions. The ongoing conflict has adversely affected healthcare services, resulting in low vaccination rates, non-functional health facilities, and increased infectious diseases, including pulmonary tuberculosis.
This systematic review underscores the urgent need for interventions addressing mental health challenges in Ethiopia's conflict-affected regions, emphasizing the multifaceted impact of the war on both mental health and infectious disease prevalence."
"Juliette Crichton, Kylie Kuga, Kaden Kastner",Biology,Injury History and its Effects on the Metabolic Profile of Human Platelet-Poor Plasma,"In this advanced research experiment, metabolites in Platelet Poor Plasma (PPP) were extracted and analyzed between two cohorts; patients with previous injury and patients without previous injury. This experiment is aimed to aid healthcare professionals in facilitating better patient care and elevate the current understanding of metabolites within the field of orthopedics. PPP is a readily available byproduct found in humans, making it an advantageous medium to explore as it relates to healing and increased treatment effectiveness. It was hypothesized that differences in metabolic profile would exist between those cohorts based on the body's previous need to respond to trauma or lack thereof, especially in those metabolites necessary for regeneration. Metabolite extraction was performed in labs and then sent to Montana State University for Liquid chromatography mass spectroscopy. The resulting identified metabolites were then uploaded into Metaboanalyst where univariate and multivariate analysis were performed to determine if there were statistically significant differences between cohorts. These analyses were then run through pathway enrichment to identify the specific metabolites and metabolic pathways important in PPP."
"Lance Greany, Ryan Croft, Griffin Teuber, Robert Wigton, Connor O’Hara, Cole Greany",Business: Management & Marketing,Ten Mile Creek Brewery Process Optimization using Six Sigma Methods,"Using the D-M-A-I-C Six Sigma methodology of Define, Measure, Analyze, Improve, and Control, our project is working with the Ten Mile Creek Brewery to optimize the processes associated with beer sales in their taproom as well as beer distribution. With the introduction of new alcoholic beverages, breweries have had a hard time retaining market share. In addition, after the Covid-19 pandemic, consumer behaviors have changed to consuming less beer by switching to alternatives such as hard seltzers, teas, kombuchas, and ciders, and are less likely to visit taprooms. Our goals are to reduce variability and inefficiencies in the brewing process."
"Tessa Hoover, Elizabeth Heuiser, Marlisa Meijerink",Nursing,The cognitive impact of concussions,"Concussions are an increasing concern amongst the general population. They can arise from falls, motor vehicle accidents, and even sports injuries. Concussions pose a major threat to cognitive function, especially in the developing brain. Individuals under the age of 24 years old are at increased risk for concussions and the resulting implications of them due to their brain being underdeveloped. Vital cognitive functions such as attention span, recalling information, and memory can be impaired and negatively impact that individual’s life. The purpose of this evidence-based practice review is to explore how having a history of concussions as a young adult affects cognitive function compared to those without. Nurses and other healthcare providers can use this information to improve care of patients who face cognitive deficits because of previous concussions and implement concussion screening tools earlier in the high-risk young adult population to promote healthy brain development."
Anna Brown,English,Y’all Let’s Look at Some of These Words!,"What is the importance of studying dialects? Dialects are specific forms of language that are particular to a region or culture. While dialects influence the way we speak, they also reveal the culture and history of a language and how it developed based on the different regions the same language was spoken. The following project focuses on my dialect, which is a mix of Southern English Dialect and Western English Dialect. This comes largely from my growing up in Western Washington, but the Southern influences from my family. This project reveals what influences the way that we speak, how we can identify those influences, and what that reveals about our history and culture."
"Kaiden Romney, Benjamin Held",Biology,Analysis of the Effects of Ashwagandha on Reactive Oxygen Species in Tetrahymena thermophila,"Ashwagandha is a widely used homeopathic “adaptogen” with a myriad of advertised health benefits but little scientific evidence to support these claims. One proposed benefit is the reduction of reactive oxygen species (ROSs) through the action of the antioxidant, withanolide. ROSs are particularly dangerous to cells due to their ability to cause DNA damage and antioxidants help to repair this damage. For this research study, it was hypothesized that the antioxidant properties of Ashwagandha would reduce ROSs and prevent DNA damage in Tetrahymena thermophila that were exposed to the environmental stressor, UV-B light. To determine the effects of Ashwagandha on ROS-induced T. thermophila, expression of the genes UBC13 and CCP1 was measured as indicators of conjugation and ROS degradation, respectively. Furthermore, behavioral assays were conducted to monitor replication, feeding, and movement, all of which are indicators of metabolic rate and health. To test our hypothesis, T. thermophila were cultured in media either with or without Ashwagandha for 24 hours and then exposed to UV-B light to induce oxidative stress. Cell growth was monitored over the course of the 48-hour treatment period while cell metabolism and motility were measured at the end. Reverse Transcription quantitative-Polymerase Chain Reaction (RT-qPCR) was performed to measure UBC13 and CCP1 expression. The presence of Ashwagandha in UV-B treated T. thermophila cultures was predicted to aid in their growth, metabolism, and motility, while also decreasing the expression of UBC13 and CCP1, all of which are indicative of cells with less ROS damage."
"Emma Chaffin, Bella Chalmers",Psychology,The Impact of Sleep on Creativity,"High-quality sleep is essential for the brain's full cognitive functioning (Sewell et al.,(2023). It is common for students to struggle with the motivation needed to complete academic tasks when they need more sleep (Edens, 2006). Research has also shown a lack of sleep decreases cognitive function and thus hurts academic performance (Buboltz et al., 2009). In this experiment, the quality of a participant’s sleep is hypothesized to influence their level of creativity, thus influencing their score on the Remote Associates Test (RAT).  The RAT evaluates the creativity of participants by gauging how well they can take two separate elements and put them together to create a solution (Mednick, 1962). Participants consisting of Carroll College students ages 18-26 were asked to complete the Pittsburgh Sleep Quality Index (PSQI) and then the RAT. The Pittsburgh Sleep Quality Index (PSQI) is a widely used self-reported questionnaire designed to assess sleep quality over a 1-month interval. Researchers at the University of Pittsburgh developed it to evaluate various aspects of sleep, including subjective sleep quality, sleep latency, sleep duration, habitual sleep efficiency, sleep disturbances, use of sleep medication, and daytime dysfunction (Buysee et al., 1989). The scores were separated into two groups, good sleepers, and bad sleepers, and the average RAT scores were compared. While there was a visible difference between the groups, it was not statistically significant, confirming the null hypothesis. Results from this experiment suggest that college students of typical age are less affected by poor sleep than the general population."
Tyler Dailey,Chemistry,Studies Toward Isolation and Characterization of Aminated Nickel(II) Hydrate Intermediates,"Metal-ligand coordination complexes are formed by step-wise ligand substitutions when ligands are introduced to metal ions. However, it is common for only the final product to be isolated in these types of reactions. Herein, a proposed ligand-exchange method for isolating and quantifying the stoichiometry of the intermediates of the nickel(II) hexahydrate to nickel(II) hexamine reaction is reported. The ligand-exchange method applied held the molar concentration of nickel(II) hexahydrate constant while varying molar ratios of reacting amine. Under these controlled conditions, stable isolated nickel(II) n-ammonia n-hydrate intermediate species were produced at all mole ratios investigated, whereas the nickel(II) hexamine was only formed under excess reacting ammonia. Stoichiometries of the aminated intermediate species were measured using UV-vis spectroscopic analysis due to the color difference between the hydrated and aminated species in an aqueous environment. The wavelength at which the hydrated species' absorbance was highest (?max) was 394nm, and the ?max of the aminated species was 363nm. The isolated aminated intermediate species blue-shifted 5nm from the hexahydrate reactant species. From this, the intermediate species stoichiometry was determined to be 1:1.5, water ligands to ammonia ligands, coordinated to the nickel(II) center."
"Margaret Todd, Ariannah Sargent",Environmental Science,Charcoal and Macrofossil Record of Lake Helena,"This study is a preliminary assessment of the vegetation and fire history obtained from sediment cores from the bottom of Lake Helena, near Helena, Montana. Before it was dammed in the early 1900’s, the land surface under Lake Helena consisted of creeks, wetlands, and springs which were discovered through historical maps and exploratory sediment cores. Previous cores from the lake have provided a paleoenvironmental record going back at least 7,000 years. Using new cores obtained in January of 2024, we tested the sediments to determine if an adequately preserved record of plant macrofossils and charcoal exists. The sediment cores were split and physical characteristics were described. Then, using the initial description, we utilized targeted sampling intervals within the core to extract material for charcoal and macro fossils analysis, as well as radiocarbon dating. This initial assessment provides a preliminary record of plant macrofossils and charcoal which inform the subsequent higher resolution sampling for the full study. This analysis of the vegetation surrounding Lake Helena, coupled with future analysis of pollen count, diatoms, and charcoal, as well as radiocarbon dating, will allow us to reconstruct aspects of paleoclimate surrounding the lake and therefore gain a better understanding of the paleoclimate of the greater Helena Valley."
